kills,dpm,damageshare,earned gpm,earnedgoldshare,minionkills,cspm,goldat15,csat15,killsat15
7,530.2999,0.260811,384.7588,0.296161,236,9.3872,6616,142,1
0,154.1069,0.116827,197.601,0.213308,226,8.9961,5017,149,0
0,131.3806,0.153944,216.0144,0.242571,265,9.8319,4964,141,0
0,142.1489,0.131646,282.8571,0.225121,275,10.4802,5164,139,0
10,695.188,0.322291,387.3815,0.351717,479,10.8075,4886,131,0
14,950.6244,0.387115,344.0144,0.288888,388,8.8068,5181,151,0
0,231.17,0.145289,219.5632,0.226028,274,9.0172,5154,135,0
9,449.142,0.292575,331.2012,0.248895,282,9.1732,5482,134,2
1,202.6543,0.122837,303.9198,0.245147,328,10.4938,5691,162,0
0,164.537,0.139238,239.321,0.263862,287,9.7222,5210,148,0
3,280.2165,0.278236,283.6806,0.323564,330,9.9865,5817,160,1
4,423.3288,0.268943,333.9378,0.284233,328,9.9323,6236,129,2
7,701.6017,0.292681,322.4131,0.248396,247,8.8198,5758,151,1
2,565.6059,0.329819,248.5669,0.265978,255,8.6934,5203,141,0
2,442.1993,0.285454,218.5482,0.244744,241,8.0282,5487,137,1
3,492.351,0.266479,290.4767,0.259717,246,9.1658,5128,142,0
2,606.0053,0.283625,314.6678,0.285307,382,11.1072,5477,154,0
7,418.9371,0.196628,334.0124,0.286325,353,10.3632,4878,132,0
5,562.0043,0.293984,323.6354,0.264408,292,9.7548,5084,141,0
3,189.2431,0.145585,336.4286,0.310381,309,10.1066,5337,149,0
4,847.5381,0.295798,265.164,0.221749,288,8.4249,5082,125,1
7,916.0462,0.438231,333.2841,0.327759,326,9.6998,6243,137,2
2,615.9858,0.248062,230.7993,0.246193,194,7.6021,4820,115,0
6,627.8863,0.189848,240.5329,0.188261,28,1.421,3852,11,0
6,548.8163,0.309798,370.102,0.300268,282,10.5,6823,147,3
2,322.3469,0.403572,290.0816,0.310424,331,11.1735,5244,120,2
3,460.8838,0.210386,263.8418,0.25783,370,9.0449,6056,141,2
7,626.985,0.294693,269.8503,0.226246,106,3.3999,4395,22,0
6,608.0934,0.248295,293.9371,0.240819,309,9.409,4906,137,0
5,560.6196,0.257819,312.8694,0.295917,341,10.5243,6056,148,2
6,532.7815,0.312132,302.9163,0.319132,339,10.9143,5958,150,2
1,444.8316,0.206975,284.2637,0.220492,320,9.9615,5159,143,0
2,394.6931,0.320834,261.7426,0.273924,307,9.6535,5469,157,0
3,357.9208,0.229624,351.9505,0.27306,348,11.198,5396,156,0
5,580.84,0.228953,292.8474,0.214566,215,8.672,5541,142,1
1,607.0414,0.349993,262.0506,0.322681,253,9.9321,5587,148,0
2,332.1951,0.236129,290.115,0.29991,354,10.7961,5611,146,1
4,548.173,0.311483,345.3935,0.28657,341,10.7133,5302,122,1
3,512.7988,0.228231,287.3828,0.23416,268,8.7746,5599,137,1
2,339.3041,0.222509,276.5507,0.299053,313,10.1362,4973,137,0
1,325.6223,0.228002,227.5751,0.262788,260,8.4979,5124,117,1
4,774.4313,0.342019,399.9785,0.311845,332,11.8133,6637,147,1
5,927.5862,0.301868,274.4828,0.224005,262,7.9885,5288,135,1
2,482.5862,0.225774,235.0287,0.283071,293,8.5345,5135,128,1
3,391.2955,0.281199,303.9886,0.273092,289,10.3977,5612,143,1
4,348.4091,0.19769,343.6705,0.257727,297,10.2273,5362,149,0
5,281.302,0.16481,336.7236,0.246899,315,10.6937,5363,150,0
0,255.7204,0.149033,266.0939,0.267136,303,10.7257,5387,131,0
8,554.8208,0.288354,359.4267,0.295935,301,9.0014,7271,141,3
2,411.5432,0.26899,269.011,0.271092,309,9.1448,5160,120,1
4,413.2357,0.159493,294.879,0.225556,233,9.2484,5214,128,1
1,436.586,0.2771,287.4268,0.301294,260,10.242,4975,134,0
3,782.3505,0.389571,320.3196,0.255276,298,10.1753,6130,158,2
1,366.5567,0.216254,205.1753,0.198119,248,7.8866,4917,133,0
2,780.0298,0.375902,262.2024,0.2756,313,9.5833,5689,144,0
5,451.8155,0.210094,252.2024,0.205256,88,3.631,4113,31,0
13,606.0399,0.350603,450.3832,0.351022,319,11.1599,7632,147,5
0,375.5135,0.266951,230.7103,0.242381,274,9.2591,4527,115,0
3,499.546,0.349594,334.9376,0.26235,286,10.6924,6455,157,2
0,212.7242,0.119957,115.8116,0.109359,50,1.7026,4133,26,0
0,613.9044,0.319296,186.2743,0.208512,229,7.3463,5159,136,0
8,472.8744,0.211621,324.4666,0.257853,250,8.6705,5221,138,1
4,447.7783,0.209243,267.2727,0.249032,298,8.3016,5258,130,1
5,560.4612,0.224709,327.6718,0.257797,268,8.3548,5931,145,0
4,604.8132,0.280538,310.0747,0.320666,324,10.1046,5089,145,0
12,995.9043,0.30684,355.0374,0.271488,280,8.9686,5541,146,1
4,685.25,0.359958,297.3333,0.285714,307,9.0833,5686,120,0
4,527.4444,0.264564,322.7778,0.242776,306,9.2222,5417,128,1
6,615.9394,0.242612,342.2436,0.236272,206,9.2498,5451,134,1
2,468.479,0.224823,208.1624,0.239327,203,8.3827,5235,134,1
5,522.9983,0.28231,303.7955,0.301053,327,9.3847,6437,145,2
11,823.4402,0.276921,404.4541,0.314855,372,10.5026,5236,132,0
7,1085.247,0.479056,376.3043,0.317486,321,10.3162,6261,158,0
1,338.834,0.18835,263.7154,0.270407,300,9.3972,4919,125,0
3,462.6141,0.239785,309.4328,0.268545,251,9.6547,5612,126,1
0,448.1134,0.31537,223.7238,0.240529,233,9.2109,4789,122,0
8,783.3172,0.42337,380.7177,0.307976,347,11.1445,5603,154,0
0,181.0766,0.133644,271.0184,0.297678,344,10.5917,5452,131,0
3,969.9874,0.36608,195.9245,0.176359,59,2.1132,4077,10,0
1,345.9371,0.226447,248.6289,0.292821,303,9.1069,4662,121,0
3,641.7192,0.348712,244.2726,0.27028,256,8.6368,5457,126,1
4,1002.177,0.353321,327.0092,0.264714,297,9.4303,5246,138,0
11,830.7612,0.329435,383.1231,0.358294,340,9.6564,4938,123,1
8,717.2075,0.297044,395.4937,0.3113,321,10.0478,5747,144,1
4,522.5639,0.26817,290.2265,0.267643,295,9.253,5259,134,1
1,324.9831,0.189928,270.9398,0.275333,295,9.8024,5198,145,0
2,565.4306,0.267624,313.2372,0.2572,331,10.5134,5159,137,0
3,464.1918,0.200974,267.0598,0.271294,306,8.5532,5834,137,1
0,241.4322,0.179702,208.8317,0.239634,230,9.0452,4892,132,0
7,715.1759,0.323607,370.1382,0.253998,247,10.0628,5881,144,0
6,918.5047,0.380414,342.0561,0.274147,314,10.1246,5431,155,0
3,453.3333,0.255164,262.3988,0.269679,287,9.7819,4832,132,0
1,489.8248,0.291696,219.1375,0.247353,230,9.2992,5160,126,1
4,384.1779,0.151644,303.841,0.213938,232,9.5822,5788,140,2
5,215.8449,0.192916,327.4652,0.256824,315,10.5865,5222,156,0
0,196.4911,0.306365,309.4831,0.318296,361,11.4811,6701,160,0
4,444.3991,0.322724,359.72,0.296816,286,10.7118,7211,154,3
0,167.6779,0.185056,211.4352,0.254822,239,8.9265,4534,114,0
5,484.298,0.382464,348.9971,0.324621,276,10.5903,6207,144,2
4,523.3582,0.298363,339.6103,0.284211,271,9.8682,5303,151,0
4,850.596,0.340601,264.2682,0.264457,310,8.6503,5108,136,0
6,549.1499,0.207614,332.1297,0.284145,323,9.8072,5455,147,0
6,467.4967,0.229588,338.7883,0.249902,218,9.6671,5642,142,2
