kills,assists,dpm,damageshare,damagetakenperminute,earned gpm,cspm,goldat15,csat15,killsat15,assistsat15
3,12,600.3179,0.239057,345.511,277.4943,8.698,5496,156,0,0
1,12,407.9251,0.214945,351.3573,200.3744,7.2699,5576,137,1,5
5,9,624.3058,0.278518,351.4509,333.5413,10.3588,5994,158,1,2
5,4,539.0395,0.349774,309.8613,344.8559,10.3415,6409,147,2,1
2,2,612.4867,0.431741,511.5048,237.9509,9.0608,5166,133,0,1
0,11,244.6024,0.154444,376.176,221.7597,8.5279,5051,136,0,3
2,3,445.2453,0.307213,376.4467,224.9408,8.5956,5214,139,0,2
3,6,553.132,0.326581,198.0922,306.8362,9.7297,5715,151,0,3
2,2,254.9444,0.290455,297.5517,266.8362,9.8569,5295,151,0,0
1,10,180.63,0.089127,547.3008,243.6689,7.7455,5040,124,1,3
0,2,456.5781,0.286638,274.5769,206.0902,9.302,5313,146,0,1
1,4,313.6287,0.302912,305.6534,242.1537,10.1963,5656,157,1,3
2,6,397.7229,0.247643,209.0746,287.65,9.1195,5203,126,1,4
2,7,629.8962,0.274819,583.3131,245.8651,7.7336,4945,135,0,0
7,6,1091.7301,0.323695,606.0727,430.3287,11.5484,6719,169,1,1
2,9,333.6452,0.188626,667.7695,336.6229,10.2681,5894,159,0,0
2,5,543.9361,0.291955,422.4986,193.9646,7.6326,4976,138,0,2
2,6,303.5623,0.189018,729.2549,231.1991,8.7311,5054,145,0,1
5,7,557.986,0.282005,257.7416,306.9499,8.5215,5139,131,1,2
1,3,292.496,0.149929,425.2559,187.409,7.7256,4779,124,0,1
8,9,629.5726,0.248255,594.4908,354.6807,9.277,5333,127,1,5
0,5,382.9249,0.232421,495.7312,240.8696,9.17,5314,147,0,1
5,12,303.3992,0.149519,340.83,277.6285,6.7984,5259,133,1,2
1,1,452.2059,0.509646,435.2941,211.4412,8.7059,5284,135,1,0
1,5,258.6176,0.143768,356.4118,280.7941,9.5588,6088,140,1,2
2,4,335.493,0.223335,297.7183,231.6338,8.338,5645,130,2,1
5,2,626.3099,0.324475,327.5775,296.8451,10.0563,5380,148,1,0
5,11,758.4757,0.328979,621.261,275.5068,7.8053,5786,144,2,1
3,8,537.7015,0.270875,435.5148,219.3376,7.1349,5543,133,1,1
0,4,250.3157,0.179453,406.2683,183.7542,7.8467,4783,133,0,0
1,10,427.3055,0.242737,392.7734,279.6392,9.4025,5118,132,0,2
2,8,370.4042,0.182171,408.0313,238.9048,8.3703,4878,128,0,2
1,2,499.0874,0.378354,375.9192,245.6714,9.5046,5258,143,0,0
0,1,284.0096,0.332785,163.2533,237.587,10.8043,5615,169,0,0
0,5,257.0348,0.238043,249.6158,263.7695,10.1561,5745,162,0,0
2,14,481.1572,0.223066,359.392,220.8761,7.7869,5256,158,0,0
6,15,571.167,0.232592,188.6891,267.46,7.473,5721,165,0,1
1,2,626.1154,0.393509,311.7629,278.6895,10.6396,5768,165,0,1
0,8,167.6131,0.109185,301.2168,250.4212,9.454,5369,151,0,0
6,8,409.2901,0.248087,331.0494,282.037,8.6111,4849,140,0,0
1,2,450.0309,0.380834,317.0988,247.0062,9.8457,5362,146,0,0
0,3,228.9851,0.227367,273.6942,166.6576,7.1177,5087,143,0,1
4,7,581.2991,0.369302,148.1461,279.4317,8.9581,5738,151,1,3
7,12,800.7692,0.33405,422.529,361.3909,9.6733,5523,141,0,2
0,6,348.0506,0.202957,410.6428,195.0158,8.0611,5153,137,0,1
4,2,474.2795,0.306162,387.9523,256.3489,8.8082,5146,122,1,0
3,6,483.7703,0.261835,635.1679,281.6035,9.1008,5119,132,0,0
0,6,590.2746,0.276263,386.8645,263.7024,9.5926,5611,149,0,1
3,8,724.6501,0.340114,331.1692,278.6891,9.3268,5165,146,0,1
4,9,382.0362,0.199843,241.3753,301.0554,9.6269,6430,147,2,2
2,2,375.1279,0.288586,301.6311,271.7591,10.3305,5507,159,1,0
6,8,666.1524,0.232493,451.0115,306.1524,8.7298,5972,140,2,0
0,4,325.2471,0.155596,790.9192,178.8637,6.873,4442,114,0,0
1,5,560.8171,0.225845,1178.4014,204.8313,7.2824,5259,139,0,0
7,9,923.5169,0.279234,489.4849,311.3677,7.1403,5943,141,1,3
2,7,561.1837,0.316779,194.2041,270.9796,9.0612,5845,157,0,3
0,1,130.7755,0.163728,585.3673,195.7653,8.2653,5117,147,0,1
1,3,623.8632,0.284783,507.7548,206.0442,7.8902,5477,162,0,0
6,14,735.0962,0.345508,342.4234,303.9344,9.1304,5627,165,0,0
3,13,696.5777,0.284425,442.5643,306.2345,9.7807,5646,153,1,0
2,7,705.3003,0.324355,469.9333,238.5701,8.0362,5780,147,0,3
1,8,375.9962,0.220279,383.6189,228.3349,8.3734,5880,148,1,3
2,6,398.691,0.185507,357.3436,226.3138,8.0269,4969,144,0,0
0,3,312.9802,0.254412,298.901,238.7525,9.6238,5371,152,0,0
5,4,498.9208,0.320083,362.9109,315.0891,10.0396,5610,159,1,0
6,7,884.2125,0.348536,303.6319,300.9636,8.672,5080,142,0,0
1,2,401.47,0.231469,943.286,194.5275,8.3014,4830,135,0,0
3,5,404.1233,0.287256,260.543,239.4754,8.4491,5811,137,2,2
3,6,413.8426,0.235154,288.0166,334.266,9.4984,6549,155,0,2
4,7,516.0666,0.229686,260.1815,315.3101,9.2587,5912,152,1,4
0,1,571.1649,0.374559,438.5174,224.5083,10.0151,5173,154,0,0
0,1,434.1309,0.30398,568.3262,183.4442,8.0794,5095,140,0,1
3,6,514.4099,0.227184,1051.0944,275.4399,9.3348,5420,161,0,0
5,10,1029.5402,0.335048,295.2299,337.4138,11.3506,5799,170,0,1
3,3,530.431,0.248158,939.6264,188.4483,6.6092,4803,130,0,1
5,4,519.2045,0.37312,395.1136,335.8295,10.3636,5391,161,0,0
3,3,385.6023,0.218794,264.7159,296.5227,10.0227,5272,150,0,0
5,9,414.461,0.242825,235.3255,344.3757,10.4055,5867,131,2,3
0,1,453.4258,0.264256,448.5272,231.1633,9.7332,5216,143,0,0
2,7,316.9135,0.164707,283.3158,274.5151,9.5748,5519,140,1,1
0,0,428.2848,0.279933,377.5155,221.6245,9.4888,5433,154,0,0
4,11,744.1146,0.2872,309.6306,314.5987,9.3248,5551,137,1,2
0,1,159.4013,0.101172,598.1274,211.3376,9.0573,4863,130,0,1
3,13,278.4124,0.138635,265.3608,256.6392,7.6701,5330,123,1,3
1,2,367.8557,0.21702,365.8144,219.5258,8.4433,5776,153,1,0
1,2,599.6131,0.288958,452.1726,253.75,8.869,5242,142,0,0
4,12,273.9881,0.127405,380.4167,237.7083,7.4702,5562,132,3,1
2,12,254.5018,0.147233,304.4762,219.1518,7.0823,5466,143,0,3
1,1,295.1559,0.209825,276.3005,227.2458,8.6459,5342,156,0,1
4,7,341.9864,0.23933,338.4109,299.353,9.6368,5236,154,0,1
2,1,571.4983,0.322273,425.9932,274.5289,10.0795,6787,166,2,0
4,4,354.8923,0.184582,752.8534,267.2412,8.3868,5177,149,0,1
5,7,673.8098,0.301544,344.1093,265.5071,8.0399,5244,149,0,1
4,4,820.6297,0.383473,408.9047,285.5787,9.9512,5412,154,0,1
4,10,787.929,0.315909,402.4922,349.3836,10.6962,5613,167,0,0
3,4,687.5635,0.318921,720.5082,273.9013,9.9253,5647,153,1,0
5,14,821.8535,0.253215,521.7339,306.1286,8.8191,6363,147,3,0
0,6,561.0556,0.294719,283.75,230.4167,8.8056,5210,140,0,2
4,7,386.8611,0.194048,719.6389,296.5,9.4167,5237,154,0,0
5,8,643.978,0.253656,395.4301,371.8926,10.0344,6601,157,1,5
1,3,462.4501,0.221929,474.5079,192.9663,8.713,4975,137,1,0
4,5,402.3744,0.217199,1058.8388,224.1681,7.279,5090,140,0,1
3,11,842.0277,0.283171,308.7348,263.6828,7.9029,5324,150,0,1
2,10,496.9269,0.219356,282.6581,265.2866,8.7451,5971,161,1,2
0,5,353.5079,0.196507,472.2628,211.3933,8.9526,5396,158,0,0
5,4,569.0012,0.294929,213.4402,320.7152,9.5808,5223,142,0,0
5,0,268.0395,0.188639,310.3576,249.3958,8.545,5652,148,2,0
2,7,537.9631,0.29076,366.4597,321.2124,11.5228,5655,160,0,2
1,0,387.032,0.28565,372.9777,215.9942,8.4384,4936,136,0,0
3,7,672.4277,0.253779,265.2327,340.6038,11.1698,5902,171,0,0
0,1,414.5409,0.271354,423.8239,181.0063,7.5472,5038,146,0,1
1,1,324.9949,0.176603,472.2482,212.8993,8.4232,5679,151,1,0
6,5,684.6287,0.241368,409.8372,351.5158,10.4985,6389,149,2,0
